participant,slide,order,grade,probCC,probHCC,diag,gt,name,type,mode,accuracy,errortype,errormodel
P4Test2_11312019,slide6.3,0,2,0.00003389999983,0.9999661446,1,1,GI Specialist 3,1,0,1,0,0
P7Test2_02252019,slide6.1,0,2,0.00004049999916,0.9999594688,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide6.1,0,2,0.00004049999916,0.9999594688,1,1,GI Specialist 2,1,0,1,0,0
P5Test2_02212019,slide4.5,0,2,0.00004700000136,0.9999530315,1,1,Trainee 1,3,1,1,0,0
P5Test2_02212019,slide4.5,0,2,0.00004700000136,0.9999530315,1,1,Trainee 1,3,0,1,0,0
P3Test1_02212019,slide3.1,1,3,0.00004830000034,0.9999517202,0,0,None-GI Specialist 3,4,0,1,0,1
P3Test1_02212019,slide3.1,1,3,0.00004830000034,0.9999517202,1,0,None-GI Specialist 3,4,1,0,2,1
P6Test2_02262019,slide2.8,0,2,0.00004940000144,0.9999506474,1,1,None-GI Specialist 4,2,1,1,0,0
P6Test2_02262019,slide2.8,0,2,0.00004940000144,0.9999506474,0,1,None-GI Specialist 4,2,0,0,1,0
P1Test2_03082019,slide8.5,0,2,0.00005519999831,0.9999448061,1,1,None-GI Specialist 2,2,1,1,0,0
P1Test2_03082019,slide8.5,0,2,0.00005519999831,0.9999448061,1,1,None-GI Specialist 2,2,0,1,0,0
P7Test2_02252019,slide6.6,0,2,0.00006020000001,0.9999397993,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide6.6,0,2,0.00006020000001,0.9999397993,1,1,GI Specialist 2,1,0,1,0,0
P5Test2_02212019,slide6.2,0,2,0.00006320000102,0.9999368191,1,1,Trainee 1,3,1,1,0,0
P5Test2_02212019,slide6.2,0,2,0.00006320000102,0.9999368191,1,1,Trainee 1,3,0,1,0,0
P7Test1_02022019,slide5.3,1,2,0.00006649999705,0.9999334812,1,1,GI Specialist 2,1,1,1,0,0
P7Test1_02022019,slide5.3,1,2,0.00006649999705,0.9999334812,1,1,GI Specialist 2,1,0,1,0,0
P1Test1_11302019,slide5.3,1,2,0.00006749999739,0.9999325275,1,1,None-GI Specialist 2,2,1,1,0,0
P1Test1_11302019,slide5.3,1,2,0.00006749999739,0.9999325275,1,1,None-GI Specialist 2,2,0,1,0,0
P8Test1_02282019,slide5.8,1,2,0.00007899999764,0.9999209642,1,1,GI Specialist 1,1,1,1,0,0
P8Test1_02282019,slide5.8,1,2,0.00007899999764,0.9999209642,1,1,GI Specialist 1,1,0,1,0,0
P10Test1_02152019,slide3.4,1,2,0.00008269999671,0.9999172688,1,1,None-GI Specialist 1,2,1,1,0,0
P10Test1_02152019,slide3.4,1,2,0.00008269999671,0.9999172688,1,1,None-GI Specialist 1,2,0,1,0,0
P6Test2_02262019,slide8.9,0,2,0.00008579999849,0.9999142289,1,1,None-GI Specialist 4,2,1,1,0,0
P6Test2_02262019,slide8.9,0,2,0.00008579999849,0.9999142289,1,1,None-GI Specialist 4,2,0,1,0,0
P9Test1_02242019,slide3.1,1,3,0.00009570000111,0.9999042749,1,0,Trainee 2,3,1,0,2,1
P9Test1_02242019,slide3.1,1,3,0.00009570000111,0.9999042749,1,0,Trainee 2,3,0,0,2,1
P9Test1_02242019,slide1.5,1,2,0.00009660000069,0.9999034405,1,1,Trainee 2,3,1,1,0,0
P9Test1_02242019,slide1.5,1,2,0.00009660000069,0.9999034405,1,1,Trainee 2,3,0,1,0,0
P6Test2_02262019,slide6.2,0,2,0.0000979999968,0.99990201,1,1,None-GI Specialist 4,2,1,1,0,0
P6Test2_02262019,slide6.2,0,2,0.0000979999968,0.99990201,1,1,None-GI Specialist 4,2,0,1,0,0
P7Test2_02252019,slide8.5,0,2,0.000106573003,0.9998934269,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide8.5,0,2,0.000106573003,0.9998934269,1,1,GI Specialist 2,1,0,1,0,0
P7Test2_02252019,slide6.2,0,2,0.0001188519964,0.9998811483,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide6.2,0,2,0.0001188519964,0.9998811483,1,1,GI Specialist 2,1,0,1,0,0
P5Test2_02212019,slide2.4,0,2,0.0001202229978,0.9998797774,1,1,Trainee 1,3,1,1,0,0
P5Test2_02212019,slide2.4,0,2,0.0001202229978,0.9998797774,0,1,Trainee 1,3,0,0,1,0
P7Test1_02022019,slide1.9,1,2,0.000125289007,0.999874711,1,1,GI Specialist 2,1,1,1,0,0
P7Test1_02022019,slide1.9,1,2,0.000125289007,0.999874711,1,1,GI Specialist 2,1,0,1,0,0
P7Test2_02252019,slide2.9,0,1,0.0001302960009,0.9998697042,1,1,GI Specialist 2,1,1,1,0,0
P7Test2_02252019,slide2.9,0,1,0.0001302960009,0.9998697042,1,1,GI Specialist 2,1,0,1,0,0
P5Test1_02012019,slide7.2,1,1,0.0001337529975,0.9998662472,1,1,Trainee 1,3,1,1,0,0
P5Test1_02012019,slide7.2,1,1,0.0001337529975,0.9998662472,1,1,Trainee 1,3,0,1,0,0
P11Test2_02202019,slide6.2,0,2,0.0001374480053,0.9998625517,1,1,None-GI Specialist 5,4,1,1,0,0
P11Test2_02202019,slide6.2,0,2,0.0001374480053,0.9998625517,1,1,None-GI Specialist 5,4,0,1,0,0
P9Test1_02242019,slide3.4,1,2,0.0001583099947,0.9998416901,1,1,Trainee 2,3,1,1,0,0
P9Test1_02242019,slide3.4,1,2,0.0001583099947,0.9998416901,1,1,Trainee 2,3,0,1,0,0
P8Test1_02282019,slide5.5,1,2,0.0001623629942,0.9998376369,1,1,GI Specialist 1,1,1,1,0,0
P8Test1_02282019,slide5.5,1,2,0.0001623629942,0.9998376369,1,1,GI Specialist 1,1,0,1,0,0
P4Test1_02242019,slide5.4,1,2,0.0001648659963,0.9998351336,1,1,GI Specialist 3,1,1,1,0,0
P4Test1_02242019,slide5.4,1,2,0.0001648659963,0.9998351336,1,1,GI Specialist 3,1,0,1,0,0
P8Test1_02282019,slide3.4,1,2,0.0001655819942,0.9998344183,1,1,GI Specialist 1,1,1,1,0,0
